schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9/5/19,2019,1,FALSE,CHI,3,10,GB,CHI,-3,46.5,Soldier Field,FALSE,,,,
9/8/19,2019,1,FALSE,ARI,27,27,DET,DET,-3,45.5,University of Phoenix Stadium,FALSE,72,0,,indoor
9/8/19,2019,1,FALSE,CAR,27,30,LA,LAR,-2,49.5,Bank of America Stadium,FALSE,,,,
9/8/19,2019,1,FALSE,CLE,13,43,TEN,CLE,-5.5,44,FirstEnergy Stadium,FALSE,,,,
9/8/19,2019,1,FALSE,DAL,35,17,NYG,DAL,-7,44,AT&T Stadium,FALSE,72,0,,indoor
9/8/19,2019,1,FALSE,JAX,26,40,KC,KC,-3.5,49,TIAA Bank Field,FALSE,,,,
9/8/19,2019,1,FALSE,LAC,30,24,IND,LAC,-6,44.5,Dignity Health Sports Park,FALSE,,,,
9/8/19,2019,1,FALSE,MIA,10,59,BAL,BAL,-7,40.5,Hard Rock Stadium,FALSE,,,,
9/8/19,2019,1,FALSE,MIN,28,12,ATL,MIN,-3.5,47,U.S. Bank Stadium,FALSE,72,0,,indoor
9/8/19,2019,1,FALSE,NWE,33,3,PIT,NE,-5.5,49,Gillette Stadium,FALSE,,,,
9/8/19,2019,1,FALSE,NYJ,16,17,BUF,NYJ,-2.5,41,MetLife Stadium,FALSE,,,,
9/8/19,2019,1,FALSE,PHI,32,27,WAS,PHI,-10,44.5,Lincoln Financial Field,FALSE,,,,
9/8/19,2019,1,FALSE,SEA,21,20,CIN,SEA,-9,44,CenturyLink Field,FALSE,,,,
9/8/19,2019,1,FALSE,TB,17,31,SF,TB,-1,51,Raymond James Stadium,FALSE,,,,
9/9/19,2019,1,FALSE,NO,30,28,HOU,NO,-6.5,51.5,Mercedes-Benz Superdome,FALSE,72,0,,indoor
9/9/19,2019,1,FALSE,LVR,24,16,DEN,DEN,-3,42.5,Oakland Coliseum,FALSE,,,,
9/12/19,2019,2,FALSE,CAR,14,20,TB,CAR,-6.5,48,Bank of America Stadium,FALSE,,,,
9/15/19,2019,2,FALSE,ATL,24,20,PHI,PHI,-1,53,Mercedes-Benz Stadium,FALSE,72,0,,indoor
9/15/19,2019,2,FALSE,BAL,23,17,ARI,BAL,-13,45.5,M&T Bank Stadium,FALSE,,,,
9/15/19,2019,2,FALSE,CIN,17,41,SF,CIN,-1,46,Paul Brown Stadium,FALSE,,,,
9/15/19,2019,2,FALSE,DEN,14,16,CHI,CHI,-3,40.5,Sports Authority Field at Mile High,FALSE,,,,
9/15/19,2019,2,FALSE,DET,13,10,LAC,LAC,-1,46.5,Ford Field,FALSE,72,0,,indoor
9/15/19,2019,2,FALSE,GB,21,16,MIN,GB,-3,43,Lambeau Field,FALSE,,,,
9/15/19,2019,2,FALSE,HOU,13,12,JAX,HOU,-7,43,NRG Stadium,FALSE,72,0,,indoor
9/15/19,2019,2,FALSE,LA,27,9,NO,LAR,-2,52,Los Angeles Memorial Coliseum,FALSE,,,,
9/15/19,2019,2,FALSE,MIA,0,43,NWE,NE,-18,48.5,Hard Rock Stadium,FALSE,,,,
9/15/19,2019,2,FALSE,NYG,14,28,BUF,BUF,-1,44.5,MetLife Stadium,FALSE,,,,
9/15/19,2019,2,FALSE,LVR,10,28,KC,KC,-7,53,Oakland Coliseum,FALSE,,,,
9/15/19,2019,2,FALSE,PIT,26,28,SEA,PIT,-4,47,Heinz Field,FALSE,,,,
9/15/19,2019,2,FALSE,TEN,17,19,IND,TEN,-3.5,43.5,Nissan Stadium,FALSE,,,,
9/15/19,2019,2,FALSE,WAS,21,31,DAL,DAL,-6,46,FedEx Field,FALSE,,,,
9/16/19,2019,2,FALSE,NYJ,3,23,CLE,CLE,-6.5,45,MetLife Stadium,FALSE,,,,
9/19/19,2019,3,FALSE,JAX,20,7,TEN,TEN,-2,38,TIAA Bank Field,FALSE,,,,
9/22/19,2019,3,FALSE,ARI,20,38,CAR,ARI,-2.5,45.5,University of Phoenix Stadium,FALSE,72,0,,indoor
9/22/19,2019,3,FALSE,BUF,21,17,CIN,BUF,-6,43.5,New Era Field,FALSE,,,,
9/22/19,2019,3,FALSE,CLE,13,20,LA,LAR,-4,48,FirstEnergy Stadium,FALSE,,,,
9/22/19,2019,3,FALSE,DAL,31,6,MIA,DAL,-21.5,46.5,AT&T Stadium,FALSE,72,0,,indoor
9/22/19,2019,3,FALSE,GB,27,16,DEN,GB,-7,41.5,Lambeau Field,FALSE,,,,
9/22/19,2019,3,FALSE,IND,27,24,ATL,IND,-1.5,48,Lucas Oil Stadium,FALSE,72,0,,indoor
9/22/19,2019,3,FALSE,KC,33,28,BAL,KC,-5,52,Arrowhead Stadium,FALSE,,,,
9/22/19,2019,3,FALSE,LAC,20,27,HOU,LAC,-3,49,Dignity Health Sports Park,FALSE,,,,
9/22/19,2019,3,FALSE,MIN,34,14,LVR,MIN,-9,43.5,U.S. Bank Stadium,FALSE,72,0,,indoor
9/22/19,2019,3,FALSE,NWE,30,14,NYJ,NE,-21,43,Gillette Stadium,FALSE,,,,
9/22/19,2019,3,FALSE,PHI,24,27,DET,PHI,-4,45,Lincoln Financial Field,FALSE,,,,
9/22/19,2019,3,FALSE,SF,24,20,PIT,SF,-6,44.5,Levi's Stadium,FALSE,,,,
9/22/19,2019,3,FALSE,SEA,27,33,NO,SEA,-5,44,CenturyLink Field,FALSE,,,,
9/22/19,2019,3,FALSE,TB,31,32,NYG,TB,-5,48,Raymond James Stadium,FALSE,,,,
9/23/19,2019,3,FALSE,WAS,15,31,CHI,CHI,-5,41,FedEx Field,FALSE,,,,
9/26/19,2019,4,FALSE,GB,27,34,PHI,GB,-3.5,46.5,Lambeau Field,FALSE,,,,
9/29/19,2019,4,FALSE,ARI,10,27,SEA,SEA,-5.5,48.5,University of Phoenix Stadium,FALSE,72,0,,indoor
9/29/19,2019,4,FALSE,ATL,10,24,TEN,ATL,-3.5,46.5,Mercedes-Benz Stadium,FALSE,72,0,,indoor
9/29/19,2019,4,FALSE,BAL,25,40,CLE,BAL,-7,47.5,M&T Bank Stadium,FALSE,,,,
9/29/19,2019,4,FALSE,BUF,10,16,NWE,NE,-7,41.5,New Era Field,FALSE,,,,
9/29/19,2019,4,FALSE,CHI,16,6,MIN,CHI,-1,38.5,Soldier Field,FALSE,,,,
9/29/19,2019,4,FALSE,DEN,24,26,JAX,DEN,-2.5,37.5,Sports Authority Field at Mile High,FALSE,,,,
9/29/19,2019,4,FALSE,DET,30,34,KC,KC,-7,54.5,Ford Field,FALSE,72,0,,indoor
9/29/19,2019,4,FALSE,HOU,10,16,CAR,HOU,-5,47.5,NRG Stadium,FALSE,72,0,,indoor
9/29/19,2019,4,FALSE,IND,24,31,LVR,IND,-6,46.5,Lucas Oil Stadium,FALSE,72,0,,indoor
9/29/19,2019,4,FALSE,LA,40,55,TB,LAR,-9,48.5,Los Angeles Memorial Coliseum,FALSE,,,,
9/29/19,2019,4,FALSE,MIA,10,30,LAC,LAC,-15,43.5,Hard Rock Stadium,FALSE,,,,
9/29/19,2019,4,FALSE,NO,12,10,DAL,DAL,-2.5,47,Mercedes-Benz Superdome,FALSE,72,0,,indoor
9/29/19,2019,4,FALSE,NYG,24,3,WAS,NYG,-3,48,MetLife Stadium,FALSE,,,,
9/30/19,2019,4,FALSE,PIT,27,3,CIN,PIT,-3.5,45,Heinz Field,FALSE,,,,
10/3/19,2019,5,FALSE,SEA,30,29,LA,SEA,-1.5,48.5,CenturyLink Field,FALSE,,,,
10/6/19,2019,5,FALSE,CAR,34,27,JAX,CAR,-3,40.5,Bank of America Stadium,FALSE,,,,
10/6/19,2019,5,FALSE,CIN,23,26,ARI,CIN,-3,46.5,Paul Brown Stadium,FALSE,,,,
10/6/19,2019,5,FALSE,DAL,24,34,GB,DAL,-3,46.5,AT&T Stadium,FALSE,72,0,,indoor
10/6/19,2019,5,FALSE,HOU,53,32,ATL,HOU,-4,49,NRG Stadium,FALSE,72,0,,indoor
10/6/19,2019,5,FALSE,KC,13,19,IND,KC,-10.5,55.5,Arrowhead Stadium,FALSE,,,,
10/6/19,2019,5,FALSE,LAC,13,20,DEN,LAC,-4.5,45.5,Dignity Health Sports Park,FALSE,,,,
10/6/19,2019,5,FALSE,NO,31,24,TB,NO,-3,46.5,Mercedes-Benz Superdome,FALSE,72,0,,indoor
10/6/19,2019,5,FALSE,NYG,10,28,MIN,MIN,-5.5,43.5,MetLife Stadium,FALSE,,,,
10/6/19,2019,5,FALSE,LVR,24,21,CHI,CHI,-6.5,39.5,Tottenham Hotspur Stadium,TRUE,,,,
10/6/19,2019,5,FALSE,PHI,31,6,NYJ,PHI,-14,43,Lincoln Financial Field,FALSE,,,,
10/6/19,2019,5,FALSE,PIT,23,26,BAL,BAL,-3,44,Heinz Field,FALSE,,,,
10/6/19,2019,5,FALSE,TEN,7,14,BUF,TEN,-3,39.5,Nissan Stadium,FALSE,,,,
10/6/19,2019,5,FALSE,WAS,7,33,NWE,NE,-16.5,41.5,FedEx Field,FALSE,,,,
10/7/19,2019,5,FALSE,SF,31,3,CLE,SF,-4.5,48,Levi's Stadium,FALSE,,,,
10/10/19,2019,6,FALSE,NWE,35,14,NYG,NE,-16.5,43,Gillette Stadium,FALSE,,,,
10/13/19,2019,6,FALSE,ARI,34,33,ATL,ATL,-3,52,University of Phoenix Stadium,FALSE,72,0,,indoor
10/13/19,2019,6,FALSE,BAL,23,17,CIN,BAL,-10.5,46.5,M&T Bank Stadium,FALSE,,,,
10/13/19,2019,6,FALSE,CLE,28,32,SEA,CLE,-1,45.5,FirstEnergy Stadium,FALSE,,,,
10/13/19,2019,6,FALSE,DEN,16,0,TEN,DEN,-1.5,41,Sports Authority Field at Mile High,FALSE,,,,
10/13/19,2019,6,FALSE,JAX,6,13,NO,JAX,-2.5,42.5,TIAA Bank Field,FALSE,,,,
10/13/19,2019,6,FALSE,KC,24,31,HOU,KC,-3.5,54.5,Arrowhead Stadium,FALSE,,,,
10/13/19,2019,6,FALSE,LAC,17,24,PIT,LAC,-6,42.5,Dignity Health Sports Park,FALSE,,,,
10/13/19,2019,6,FALSE,LA,7,20,SF,LAR,-3,50,Los Angeles Memorial Coliseum,FALSE,,,,
10/13/19,2019,6,FALSE,MIA,16,17,WAS,WAS,-5.5,42.5,Hard Rock Stadium,FALSE,,,,
10/13/19,2019,6,FALSE,MIN,38,20,PHI,MIN,-3.5,44.5,U.S. Bank Stadium,FALSE,72,0,,indoor
10/13/19,2019,6,FALSE,NYJ,24,22,DAL,DAL,-7,43.5,MetLife Stadium,FALSE,,,,
10/13/19,2019,6,FALSE,TB,26,37,CAR,CAR,-2,47.5,Tottenham Hotspur Stadium,TRUE,,,,
10/14/19,2019,6,FALSE,GB,23,22,DET,GB,-3.5,47,Lambeau Field,FALSE,,,,
10/17/19,2019,7,FALSE,DEN,6,30,KC,KC,-3,49.5,Sports Authority Field at Mile High,FALSE,,,,
10/20/19,2019,7,FALSE,ATL,10,37,LA,LAR,-3,54.5,Mercedes-Benz Stadium,FALSE,72,0,,indoor
10/20/19,2019,7,FALSE,BUF,31,21,MIA,BUF,-17,42.5,New Era Field,FALSE,,,,
